RegionID,SizeRank,RegionName,RegionType,StateName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
102001,0,United States,country,,242378.09594800923,243394.55406754516,242320.90890255538,243702.16115187036,246640.1266809328,249758.84297160935,252952.53104991908,252123.1499011168,256066.0186185514,260493.3667027058,262630.27738592925,262703.21622693003,266042.80377749586,262778.75143485813,262545.36619541486,266368.93759089813,264562.8052294887,250650.74729511424,242748.265818566,240085.42721763384,239659.52316536783,246995.98053110912,246049.6407688033,241955.0712923426,246107.9287694325,249756.02816129022,249649.40042679507,250689.5333426044,255156.1278250536,256973.54566888305,258895.10821442291,260369.6937195749,260052.4830549385,264077.64329840173,265910.3665155798,270242.0445824927,279436.64877448976,279204.26734412374,278280.9238588727,281715.4898125572,277827.18231957016,274753.21744965797,273832.6392120553,278436.72679821745,279685.62135105924,283128.5934472922,279915.2937909093,280028.66067366215,284742.3162595238,291482.74888759444,291075.74117307493,294231.5622224134,294987.27053616225,296764.8689580054,301462.9706724558,302550.8084355969,302918.3875916198,303767.76495205006,296018.9528813634,285280.28028071724,287978.8449922383,288959.33087335434,289782.9355840802,295818.7169922247,298472.4075650868,302656.57837184094,301728.08461735776,305196.47632920154,307672.5191853543,305063.00993789214,304385.30288229865,303819.35229904624,303684.005101347,295204.9649043804,292087.680213727,291552.54764176346,288479.2405397237,289903.71488813026,292201.8230494785,292827.58878470847,292642.3020708218,289084.97004338674,290172.6769760976,298786.0513134725,307677.4712985528,312710.4472038863,318146.74195087445,324312.2043459367,328721.01470681134,338778.7043363752,341000.6021447732,346886.8705399025,346744.02679939277,343139.99824087706,342149.41112470644,340373.8209810325,345338.1971221863,350529.57965199865,354133.7677192207,363131.51151552977,369300.6245710166,373339.0107767951,380055.34538304724,384037.28580990696,385073.6218804072,386307.10385787854,388570.39083102177,394403.8474321752,402800.9576813133,402069.87954098714,389827.9874942159,389367.979139845,392700.08687980915,395671.999748578,404417.2110792416,409143.31196290284,406392.93885477114,398414.95062474656,398166.83675644075,400384.50507607794,394452.95783414727,385285.34926691593,372982.0096902322,347310.44134836644,342207.0657777406,335071.2228958308,340921.0116420438,349404.8719929151,321677.1089344922,299724.32215643104,302856.79473814653,316202.5630242826,319162.11767535907,320572.55254963116,312780.12523640477,319259.41532634775,317235.46357898274,309278.0527655857,306223.99378487194,300375.9622107725,296883.046926622,286555.18961446744,291125.3617602186,308196.8054747511,313263.78470954293,310512.51638622367,310013.41793691914,305709.9297771368,304653.2877346726,309360.9886050104,312078.070337663,322946.90606548445,332435.7537924447,325973.3623910304,316013.26099054405,319603.1385128965,312697.2573627424,315947.34842341865
394913,1,"New York, NY",msa,NY,271918.28280632786,272713.61989464035,271702.20929508185,273092.57521773543,275988.80397401634,279105.93856150087,282296.8262757865,281681.4022723184,285849.64566620404,290511.7770050917,292913.6518712987,292884.33594428975,293867.1027300962,290673.9726640719,290636.8858788756,294462.67825232615,292947.2321399754,279600.7634367144,271803.59263931744,269077.99511947285,268888.09683833853,276218.2081903696,275523.742101775,271338.3720247058,268892.9169453078,271932.9031890042,271665.2834191335,272458.4343328422,276321.3487076127,277577.25128313754,278888.2494559811,279817.1730330107,279304.81491367635,282699.44637487154,284100.2911484032,287527.5585171382,309575.1406162245,308949.97719300975,307855.6212134578,310959.27306788735,307064.1702645707,304025.02698257833,303069.2651139094,307457.8726924394,308795.33861951233,312263.9529643813,309369.92081822065,309784.9479975881,306950.85024669435,313406.975145697,313306.46427893906,316436.0885003379,317362.31216144684,319066.0160929497,323383.39436071384,324320.28969633486,323970.89852769667,323956.8389987151,316279.87921586307,306248.21259020286,306500.0097513678,307183.7261254455,307753.67962754227,312987.7091838243,315279.67140352994,319472.8200180791,319210.9007617141,323037.1934098263,326880.32856215443,326318.9271446314,327345.62810327916,327670.27361372154,329265.29808400903,322191.39672690595,320358.6852050306,321005.24508526415,319061.94933308405,320192.22923240997,321946.0189409119,322015.87788740586,320754.8187260931,316267.7379455117,316198.34682864835,323477.7022495501,336620.71905091166,340701.0766630674,345154.83877698414,350239.9597625189,353743.4862663307,362860.126727063,364824.3990085011,370144.6038399,370040.819183168,366792.40052622,365928.2498829868,364351.7129883721,367218.66816599155,371841.5608575229,374785.8806592759,382502.36050317023,387787.7589994543,391870.4503906551,398434.12868991686,402468.953681184,403226.49193824833,404044.7961404486,405951.1348760407,412144.81638258527,416855.60391334165,417429.175846601,406828.89198169264,406208.1849233381,408938.1457536691,411732.87087460066,419574.06880284654,423756.4598959931,420445.92991839437,412481.05040810467,411213.2357242971,412374.5091745202,410807.5010141204,401865.04112275527,389686.048542099,365272.85903388564,359475.37083067815,352349.34176262794,357169.612633375,364500.7165188306,339642.19156116084,319729.28392800543,323250.16620791896,336334.3693228412,344671.084879372,346613.5652183115,339913.3500470722,347111.8922020748,346062.27148927184,339301.92596695217,337328.35534749995,332558.0993447127,329972.3218019972,320500.9676030896,325982.6651514005,344044.6576436559,353935.47852172225,351226.7169988473,350797.8821954249,346437.99383001344,345430.4115062081,350361.9667927555,353236.4419120036,364465.95684607024,374182.7579999231,367710.66945745837,357615.0742715564,361402.6539268037,354303.844441791,357648.1173445492
753899,2,"Los Angeles, CA",msa,CA,299401.3653429533,300788.9577987604,299282.19232586725,301098.6557894965,305068.0006657696,309474.4615508948,314031.41175980336,313182.31533069233,319425.5191361651,326457.2914997952,330183.30630083906,330122.16814969113,326902.15029252035,322331.55820198567,322280.3153736618,327706.0128297918,325510.26101406233,306525.5455042291,295482.86335344583,291545.1930439132,291694.0149678395,302221.95724912296,301774.6575641483,296527.18840624497,298043.90531262057,302773.99190404516,302784.3845474802,304292.443051103,310159.6382547171,312216.9419777991,314341.50030148274,315846.770092473,314856.3400126221,319425.0159079177,321243.3678452762,326756.6180016835,331612.2440724466,331362.0071651651,330147.67314707785,334312.58118931955,329483.2083007237,326130.47809635656,325518.3775486002,331781.869731641,333913.7114821149,338796.67472204374,335373.6301081947,336189.69593751687,339840.19061814446,348821.111837585,348890.7912182445,353388.8752792826,354885.09980948735,357534.5549505018,363820.3116698054,365515.1324718472,365819.751365367,366651.7638413893,356726.8205958421,343044.3468580302,350130.4156811235,351026.3412464566,351465.2724062169,358452.21516066167,361280.96954161127,366871.35035831126,366113.09739097394,371159.4744868731,376095.95153210446,374698.5140253797,375682.07052070845,376293.37239226047,379156.07366517076,369246.6891215787,366698.23086222634,367643.6249044122,365011.8830078959,367193.1117467407,370341.477932965,371102.23748192244,369882.6015642175,364081.7501528548,364448.0464978317,374736.66487913433,379126.99568719073,384541.38599993446,390428.75681490154,397186.2478679258,401782.8481260325,413994.351172351,416367.1084401102,423513.6012473324,423863.6302445621,419955.90707567567,419403.99217709916,418131.50766393036,424370.729011319,431855.16408442217,436095.1942617143,446995.55871589447,454696.9227015423,462104.81180750584,473425.36664112506,481055.5424258091,483327.94516029785,485624.07405198883,489303.37239159667,497845.93371415493,509964.81484094204,509540.9483647854,492166.6456084791,489938.54634698294,492746.87543738505,495735.8831801024,506337.37656389107,511850.46439363353,508495.88832385384,498482.9046716045,498213.7805542504,499377.9317905585,488014.4275751778,474517.29596492037,456479.27828061086,421804.4924216021,413264.79912494577,403063.68891017203,409047.23469236365,418472.3805864065,384787.3275775712,358429.85303807794,362802.25168061926,379972.28241047653,383839.06459451455,386416.57028384,377878.5613608514,387016.13863376307,385635.6120843872,376661.65784933994,373700.4403427177,367211.6490528127,363527.2847401386,351166.4846926782,357476.4929064335,379464.2150538045,388220.85905951814,384699.9565795839,384060.6616336603,378627.7128811973,377263.64978334657,383219.6881106916,386652.34084215056,400460.1244153216,412750.1095211582,404448.682288094,391705.2168513689,396233.90087008773,387440.91293961584,391578.4547717446
394463,3,"Chicago, IL",msa,IL,235296.04600824183,236264.99272572575,235582.75697072907,236857.66763924845,239370.88357426488,242031.05214338982,244745.93208050187,244256.34495077404,247329.78369178277,250740.3300665941,252386.22128681513,252627.0160961061,260305.8250842059,257872.0674951656,257994.0561970198,261434.56393997636,260300.46640111806,249156.3469042926,242832.26208377362,240829.44902586294,240539.64175394288,246729.3773875637,245968.08814021217,242460.80365005694,247821.09149461772,250860.8318232046,250774.2787188567,251662.6715731245,255406.89144388732,256729.3192848475,258106.12325369564,259114.28812855677,258693.12316033448,261900.60044216085,263285.2230351553,266786.8452262381,271183.3768630014,270920.550131903,270151.1421961492,272865.1971018294,269769.82699841587,267507.03270508436,266999.95854055934,270975.71983017755,272418.65724892844,275651.6694258879,273498.95449222566,273806.8422104509,277040.8263656502,282582.21797003975,282311.374164542,284847.73974800867,285428.91174497816,286515.3417994802,289841.15568733774,290344.49162327906,290438.8389235769,290934.8074771579,284658.687809711,275793.8765878549,281481.2145698293,281929.3624281228,282428.273109528,287194.59592611477,289217.3913011502,292571.27825859893,291812.4015112229,294668.9547847862,297104.8986536788,295505.5028753631,295504.06184876285,295866.7269857652,297425.5837740098,291265.49556855706,289597.3363459359,290120.96551907243,288425.6660043029,290081.14708712633,292400.4782778977,293189.42711802345,292603.71393534413,289062.3256042622,289407.59126736136,295759.5786698474,300709.37070532056,303948.23743911507,307523.22334724996,311630.080534534,314377.2380307891,322002.7802867277,323484.0563256735,327929.6443198432,328239.67288265756,325929.68208870024,325680.89305756777,324911.2688023665,328558.37057145,333272.605098533,336930.74832592567,344835.06848148414,350500.91411914,354325.26755033096,360185.011296882,363850.5461395831,364739.7203038867,365699.49049861677,367514.9884874609,372481.2517475964,383401.1662866391,383312.13262918626,373557.2089946845,372904.45452301804,375227.0868690003,377295.172068394,383861.8090973545,387095.40002800524,383479.59074713115,375669.74263276026,373980.0969068679,375070.04913988925,369089.6369530277,361494.32596170367,351030.631414786,329759.8589324064,324893.3709414861,319116.17700227594,323952.5329259291,330983.99937826686,309121.29258398165,291535.13030829007,294837.2650141794,306582.23148423067,312505.939796661,314212.9216413099,308013.0589303245,314007.15590939805,312741.1864624094,306329.73739308346,304095.7011088686,299448.82950780663,297053.53023025696,288568.4225131125,293272.1873385386,308950.67007736245,371933.26071195246,368545.27223189385,367939.821602554,362744.6514425351,361428.7780058588,367159.6756419816,370463.56227757677,383763.6399372758,395754.0034380936,387726.84479805717,375419.65788003296,379772.00304843154,371293.7637782688,375283.3375981732
394514,4,"Dallas, TX",msa,TX,236601.22880568335,237809.20229279605,236909.3362395478,238067.05129679077,240578.82629344714,243355.71322871142,246212.74602815526,245621.81701510915,249000.10015794172,252767.52096860541,254612.2745423736,254870.33837087796,253236.62694822217,250736.55527952654,250924.91163685848,254489.23437505763,253379.23585242574,241893.37574645452,235253.16206439212,232930.9706872551,232168.57143327052,237850.7927255102,236683.66734074164,233390.93462495296,239831.6907327371,243092.56156990252,242919.53053433288,243688.9824109448,247421.89269109318,249240.77526784563,251203.65309311685,252764.4652503102,252634.49071089338,256157.1054872428,257803.08694340702,261436.46924133252,275180.68423860724,274861.40552343696,273269.6951583389,275336.6073851093,271159.0211976047,268312.35141051305,267437.86916503496,271470.30077495385,273206.204553945,276947.8772842391,274883.56304498966,275613.8123629078,277652.0637290565,284037.2281318683,284344.8447685717,287726.49203129596,288933.05328580056,290319.53299423715,294078.70529660385,294653.2354088614,294122.1748260681,293922.67297545687,286568.7042521543,277386.86323549325,282614.709334222,283538.184051056,284137.5489568605,289253.341083799,291483.3085983982,295460.79281741864,295068.3862545969,298531.51216422056,301271.49001310614,299606.57473889523,299655.89797748753,300013.3091080703,305693.2720282488,298759.2679335468,296507.3435545993,296619.63743871276,294285.41664833017,295581.3320219602,297592.4152886686,297927.741924673,296822.95575321023,292515.6971839282,292543.39328351256,299683.97071510425,302047.2416522278,305725.0591726574,309197.69085530064,313139.7504107749,315676.92156549904,323800.3683228142,325389.3099951937,330243.6639496392,331046.6427264464,329080.7914468545,329244.26858833566,328251.9586925764,332638.97401232296,337432.91995100793,340523.68814787443,348116.2711784426,353237.2239718729,356163.0709432215,361236.1969311602,364030.8107745496,364547.8250021311,365247.26191508427,367092.75620597607,373720.26782111585,391356.7978091617,392726.9092863315,383264.9050806043,384017.74096365157,388001.90756636334,390967.1003658353,398895.33124527097,402935.1967246053,398478.8426071103,389175.36023053393,386850.8325536616,387978.79523014853,390213.7517975637,381130.8498606457,368829.91237865295,344217.43126914237,338576.94741519284,331877.006296505,337252.1973515898,345221.54454488074,320770.02976214996,301422.24450340867,305569.1664128686,319435.84897456947,330079.0029257707,332676.48204466974,325362.5158122051,332130.0069434211,330413.2399790798,322995.78088890074,320535.519025567,315236.5227776753,311897.73521536874,301819.27083401656,306636.78918704425,324141.09623375215,325147.8978540781,322477.50920288515,321987.9323614634,317673.0816701919,316668.71592660615,321346.0418710279,324052.9677085426,334755.2500161769,343634.9009286244,337432.3301892422,327786.23360650346,331377.74275497335,324614.85054838075,327798.4343732634
394692,5,"Houston, TX",msa,TX,310261.4852621919,311948.81916903437,310127.55993761437,311930.05302142334,316118.1230200119,320851.7308312799,325764.12463463575,324496.46677733364,330039.20775415766,336260.24636857194,339114.0721155859,339579.46595543093,336902.85900962993,332601.47726059344,332732.11060838745,338834.14493727457,336674.5448842945,316912.15210976236,306035.9805507889,302622.13049684634,301738.492978827,311929.8360356842,310270.410870487,304687.6532890695,253468.90714011592,257309.0721830157,257351.6716871788,258475.76877201628,262902.1192736994,264880.712080818,266972.83117458166,268561.63453920983,267986.3796932919,271496.4184844274,272883.488381503,276511.61661767965,280150.2751746943,279349.21132955863,277272.2340116894,279011.55080765235,274244.4722698217,270880.5778152775,269570.51117377344,273338.8205609828,274744.530502721,278221.0130091114,275702.55912288825,276055.4333653869,268050.2715489568,273917.0174618626,274006.03649729874,277032.7659943377,277946.27625356964,278819.89417936484,281911.06649599556,281923.26560186077,280687.3125272762,279734.9199902958,272058.14679541736,262759.207734082,262399.0103352638,262590.39978965267,262430.87920073845,266298.1541595771,267615.60306746623,270807.56945619266,270147.64935636416,272986.8846284971,275542.43610865297,274228.3804086864,274419.20360955497,274743.2911638007,279822.86915863084,273726.353938916,271931.76387524285,272270.37613648496,270378.4668584143,271499.34738553036,273222.35449259885,273402.4594705415,272075.31342359504,267859.2288827461,267512.70478958543,273461.932344856,314615.9840755557,318227.47103862243,321732.8403694019,325780.4863868829,328227.052901025,337393.36021956196,338970.0148934838,344414.8134341195,345378.0822125537,343136.6953561509,343380.0575007593,342205.1703364783,340142.8287514347,345475.1343872085,348783.63002365263,357171.5664353007,362753.9799648517,365768.3887240371,371217.4547835759,374042.06115813553,374136.01311433245,374412.8448268829,375906.7015337149,382341.1582814648,368666.10215665144,369385.360953142,359764.80163219967,359979.99443233333,363342.2148529356,365966.2802606237,373402.01142161386,377177.5430746162,373228.42481685046,364691.73785123235,362810.4645609273,363982.24023610144,386540.75191269745,376653.4030342219,363599.375969603,337682.7441548122,331805.4188890115,324636.98196030554,330059.3555953481,338167.59598356555,312335.43477089313,292038.03195237706,295940.89825043804,309745.6159258417,309926.1914940114,312035.55322028435,304681.5900914957,310920.6055339055,308970.0423691517,301567.44567227946,298957.17153411685,293640.5252467711,290214.5750663514,280415.3631440908,284808.0276360813,301336.8119497637,311183.7733109595,308409.69452403364,307858.20460091357,303433.0335117781,302372.0344411039,307051.4977250346,309742.542693675,320533.92019915534,329444.28491830203,323087.26553963724,313265.8674183055,316846.65119321697,310012.21470141463,313227.2917034382
395209,6,"Washington, DC",msa,VA,470707.9879353927,472869.36397449195,469965.60054684075,472182.1851250724,477769.5943274892,484105.8273963779,490673.76348090585,488542.6386787624,496042.1833341827,504483.83725865115,508195.85821995855,508541.87248054263,499187.33572594455,492861.2698508744,491679.5498344895,498433.525878362,494021.6342055616,466096.14835130086,450300.7910543013,444795.6986515681,443284.6066006517,456967.8122536203,454392.32520128705,445919.8535126622,434299.9616840594,440555.4804100497,440236.85441608424,441995.8282116622,449834.79598485,452475.4442002108,455226.8396692654,457052.35196036985,455083.7394896349,460750.88575617754,462568.9930408791,469249.02956022666,479286.036853193,478006.9330293028,475580.46707847563,480633.8596558784,473170.4851993103,467561.6940089159,465731.22897711507,473339.62572989584,475034.3272147223,480459.2250907483,474497.1113240218,474254.39268287044,477750.8409920515,488583.144713777,487659.4777042938,492739.3547717108,493783.34181003174,496457.76553259173,503999.2523025012,505505.3945500225,505870.24609180784,507049.0560940886,493776.12393105146,474915.8559237053,480060.34004562773,480746.8087934548,481112.9975515326,490101.3724232646,493556.27492024936,500164.70678609505,498400.979941736,504150.7490452801,509533.1591930021,506665.3976271511,506906.25286021584,506763.0297494971,505467.1239508216,492003.3708287183,487774.7169438052,487930.7830993553,483634.334269435,485754.15593378973,489145.5453027016,489539.8911349419,487561.7364096907,479848.3711962367,479874.44219351234,492233.70750935754,503186.0921131514,509586.49276322086,516688.773142178,524884.0543318494,530397.7231934661,546045.2991917661,549281.2162019192,558637.8087507663,559713.3535244802,555434.5463630925,555271.9974055924,553325.1948709731,562632.4944970319,571848.3229887413,577871.650367278,592567.2286727016,602656.2339361282,609233.139708893,620160.1568698945,626655.8089348879,628458.4735688636,630601.0746277166,634296.0104848269,643042.4605841263,658751.0411064605,656807.528507395,636857.7011241105,636301.5997186234,641681.4761520736,644874.5348565463,657201.0169980052,662993.8774094307,657028.1145010524,642688.76000857,640835.3917203088,642845.6742862967,622375.1753286829,606837.0263977177,586366.4414687871,545189.4105552911,536182.6106004796,525038.0712242106,534176.7666558232,547503.2892046368,505246.63395570795,471869.5814255276,477458.3286716155,498664.5888896442,503324.6770995731,505796.03675127943,494126.1303992524,504736.02578175376,502186.44829011563,490338.2799726358,486062.33447292435,477437.26551516826,473098.8397217081,457667.3780258358,465959.9373091169,493945.2960533289,503277.77132570057,498977.31266078923,498276.43059662083,491655.55224795773,490002.36192003335,497503.13922600937,501850.5442162943,519161.43397343444,534999.885872363,524652.9616723836,508721.0108157142,514426.6386040207,503400.63710906194,508592.3378205964
394974,7,"Philadelphia, PA",msa,PA,267465.104590729,268289.445250498,266944.1612629119,268125.8798978051,270939.2228235415,274128.74163954396,277424.1258701679,276580.0316076423,280546.4547433808,284988.63975798787,287126.03944357805,287394.36615329154,265758.7197516254,263178.2238493717,263233.22043945495,266771.50949080405,265507.408985329,253815.91031596577,247223.00534110377,245190.58969570478,245078.19652409002,251796.49762997747,251191.10526383933,247579.5901880571,272474.6122745004,276180.9338562797,276151.39483971894,277331.7880931335,282003.68585898523,283662.24461702415,285379.23338765145,286621.9561654378,285982.4228491865,289785.90892352187,291341.23603725317,295464.00536079693,309951.88403215597,309396.6859431648,308194.82976696454,311562.96583798225,307283.13116884284,303960.3960181492,302911.7964336629,307680.48906125844,309100.5727887561,312843.14628150914,309615.8078040982,309854.6024470569,307417.79835902323,314307.2108713677,314178.9215354283,317619.0615972773,318634.7894222959,320456.9040224686,325146.6636252537,326189.4390707392,326210.15940371674,326661.9607836116,318523.5157292277,307014.40773250733,316517.28017994936,316627.15696108044,316409.0621068239,321510.56218388473,323222.73006179277,327208.46011508425,326072.9357798686,329603.80287938565,333040.4213221988,331404.7817488064,331744.6421414876,332193.9080901897,313437.4115248402,306530.55282179004,304565.85240525857,305032.56859520293,303021.1241347778,304745.5774584225,307211.2921640082,307941.42656207335,307008.1823623804,302771.4808451038,302939.29268685414,310252.64325558906,306539.634319722,310223.3235434164,314035.7639436345,318375.2697860968,321271.2333281274,329245.87367577525,330722.607513338,335319.4720231929,335493.32361474656,332892.53637332114,332437.97385008814,331247.00265974284,361223.2102600326,366601.51645058073,370799.72666781646,380242.4779757265,387085.6191272576,392541.5500020913,400708.2182879004,406214.911489683,408426.6234785816,410770.55441568646,414087.5636779094,420651.1682539167,432092.06744054664,432174.1071583381,420292.6496729915,419934.4675226019,423273.8051862754,425933.3970697466,434227.16350223176,438301.6824710864,433678.9467805857,423762.18162936176,421551.54198798136,422653.9893876635,417867.32083469926,407968.3727156766,394955.7535434044,368684.9155776099,362842.6555302873,355557.57531515154,361267.53902382974,369614.31752090686,342192.6930713893,320319.3035973621,323664.1720759647,337357.0615113539,338829.4315303553,340448.12212952116,332670.67066302494,339050.97908460983,337025.5182124373,329229.3933281046,326311.87400357326,320560.4323346468,317111.415523898,306660.5482526008,311274.42638660216,328374.09428477555,335200.4010867505,332509.0596253251,332079.71950542176,327837.77677886334,326821.048657316,331631.0354061037,334428.0397785189,345446.33933518216,355249.6881011819,348792.1428077446,338778.2922066111,342455.8498731902,335465.60113000317,338758.1040882321
394856,8,"Miami, FL",msa,FL,197002.78668573097,197551.77853757527,196515.8110143982,197446.36783351275,199606.25740314444,201850.96652523783,204140.645774764,203384.95873203894,207262.13828735444,211675.94140459487,214174.9550582893,214436.7805917762,219283.64587262654,216617.06570056762,216601.68853556263,219951.92142600514,218590.05462385566,206758.41028170346,199782.96614781115,197146.79475532513,196611.50071455643,202433.010306747,201537.13204100615,198217.47781105444,200631.96785510608,203676.60315154056,203890.22307424888,205074.231569547,208980.36653998526,210466.78590652006,211986.76761681263,213091.45811119623,212452.57410534107,215262.71954859534,216314.7097863383,219433.92885346402,224761.34965876534,224215.40299542728,223101.77376507083,225399.7242556079,222002.24396522055,219517.877428783,218761.76130934613,222407.54063116675,223848.13565181542,227077.88491485827,225030.2734544095,225306.43584547297,227213.9465993936,232693.9201510202,232876.8894740672,235877.70548421863,236921.05614192685,238210.48516729928,241675.05742780416,242247.8328404909,241835.42482525314,241729.01891682073,235052.09797823644,226384.0089670149,228487.23185654698,228987.87734795242,229344.87649769287,233693.89828032724,235559.9670947222,239317.86205051185,239269.66643470334,242716.5918754954,245912.91268890008,245238.875144157,246020.06426496123,246653.75527089683,246117.934581262,240306.25184852234,238704.17969912806,239174.64912385005,237524.6339961271,238939.4557425314,240961.44045608665,241512.40540266375,240649.42817364962,236993.5262514843,237101.11220552932,243472.46696282725,248263.61014392946,251717.55823646672,255176.71103438412,259116.4987273079,261776.71792403224,269273.8166672362,270871.4663032996,275375.0846451136,275945.4711321976,273969.16071737977,273961.3463011228,273165.7981645248,275347.27057590894,279719.315015348,282945.41705449496,290302.05143333715,295443.635869872,298609.10739162646,303729.8914855069,306753.6633281998,307405.4867151525,308171.40738037566,309951.85530063615,315837.028444024,327779.30426729145,328875.51671129937,320463.77334854816,321279.85815787094,325025.15947695734,328056.307773405,335589.34206692124,339672.2275558152,336298.7294672113,328560.52899186686,327061.378863701,328159.09243966313,328019.1673575913,319802.948279508,309219.92176524265,287873.96570892836,283318.06463991373,277754.21578933916,282817.7098907662,290213.266899621,268974.5774517619,252319.48186576943,256278.48601531776,268620.61318564403,270652.3178728721,273337.55387575267,267953.16010863904,274602.63273160136,273821.1588119523,267930.71945716377,266348.75225493766,262364.5063248724,259494.79539478087,251424.90114619414,255678.88066657286,271047.46911487426,274144.00473765546,271684.7673487094,271101.337182605,266965.2537768216,266040.2621256814,270096.9149050469,272413.38157698617,281711.272403708,288236.1880368044,282928.96194369276,274653.0456603135,277790.0641191094,271956.87766925344,274698.50632448506
394347,9,"Atlanta, GA",msa,GA,285341.95631746354,286386.7069134688,284636.1140466808,285889.04219284334,289066.298931553,292450.6453444532,295921.4700504632,294433.02482160827,299017.07110443275,304229.0788785601,306690.41851401783,307116.5421433895,307768.25517956266,304153.38810515293,304067.28700371407,308884.2368617929,306870.37366024795,290185.59383126354,280800.80763652665,277678.80232210987,276886.8061906656,285385.90001722076,283952.8440363544,279052.09158053104,270451.8635379976,274511.300395849,274575.9058479669,275917.39364089404,280984.9255793657,283042.21919705765,285192.6098173418,286792.62654160656,286087.31690813455,290064.6391952065,291680.16830281576,296224.83076104324,311878.04629864526,311485.15923767904,310191.28104210296,313777.7746357083,309184.0326993828,305873.88677161146,305045.482382678,310456.956094867,312168.507206313,316372.3770420679,313124.0854210511,314044.7534684196,320152.399959168,328587.32427439775,328634.2671266727,332719.7057357842,334006.664830915,336123.9627317866,341526.87368899304,342642.4966095474,342088.0119361948,341950.76347873505,332170.43340011523,319692.6882403467,322502.42832948314,323367.5062819508,323777.2269639199,330006.1237517424,332517.57841233624,337375.4981764652,336580.00827525975,340882.2516113204,344821.78237757634,343117.7195633057,343539.1072597855,343725.72841270047,341749.6618551897,332968.657378134,330465.30441455723,330953.8895723952,328358.4798425712,329830.86712507054,332117.2184026455,332298.916611005,330513.1434553234,324785.78207294934,324391.3504618159,332782.7925031816,340603.7661304459,344970.5089751703,349353.26742881886,354380.2551353943,357639.9508424543,368104.66406384896,370230.7352420063,376446.5248286495,376790.4886058699,373475.7461160472,372949.16047486145,371253.1912007182,373383.59967187716,379245.8706112057,384138.25669096736,394976.3956682067,402755.2909859721,408044.00048193603,416215.72099643527,421420.84059322753,423226.2090917426,425222.02541489346,428457.3374178818,436269.7688342592,453599.7415003105,454133.61819695536,441006.9260392808,441181.6730103507,445666.879151066,449668.3222864437,460249.008091424,465877.51788436493,460879.8643736502,449646.75886294956,447399.0306979258,449099.0469823281,439192.5775604171,428411.81860559457,414325.90948170546,385476.4239753947,379471.59130314045,371339.38166010875,377595.36385161406,386854.44668467896,356587.100889536,332716.29300177726,336525.12176013505,351022.1969875372,353346.3391257243,354662.9465274164,346293.8795711543,353754.38273124513,351831.9031290413,343340.2134921364,340258.4911864418,334141.91966304905,330997.66420557455,320256.3173848638,326113.67491123365,345975.2668248424,346148.32700059284,343190.09879848215,342669.7114999107,338025.27922104154,336895.05670226074,342020.9670574276,344985.68863702187,356789.67020052817,367119.3690909194,360137.051942051,349352.8256186899,353265.6948554464,345770.59314771014,349298.82206279464
